,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
4668,2016-02-10,"['esperar', 'eleições', 'presidenciais', '2018', 'brasil', 'cura', 'deputado', 'estadual', 'rj', 'flaviobolsonaro']","[0, 140]",516,102,2016
6274,2016-02-11,"['live', 'aposentadoria', 'vereadores', 'outros']","[0, 67]",209,44,2016
3929,2016-02-11,"['breve', 'faremos', 'vídeo', 'sobre', 'tudo', 'cerca', 'verdade', 'precisa', 'dita']","[0, 84]",622,105,2016
2998,2016-02-12,"['bolsonarosp', 'protocola', 'mandado', 'segurança', 'contra', 'emenda', 'criminaliza', 'juízes', 'mp', 'abusos', 'autoridadesaiba']","[0, 140]",373,145,2016
4605,2016-02-12,"['líder', 'grupo', 'terrorista', 'mtst', 'guilherme', 'boulos', 'recebeu', 'medalha', 'mérito', 'legislativo', '2016', 'ivan', 'valentepsol']","[0, 137]",1106,507,2016
6237,2016-02-14,"['obrigado', 'pt', 'pcdob', 'psol', 'ongs', 'dh', 'viva', 'rio', 'globo', 'oab', 'aqui', 'rj', 'tds', 'seguros', 'desarmamento']","[0, 140]",706,375,2016
2076,2016-02-15,"['hj', '15022240na', 'redetv', 'lucianagimenez', 'roteiro', 'formulado', 'responsabilidade', 'produção', 'programa']","[0, 138]",779,320,2016
1836,2016-02-16,"['obrigado', 'todos', 'envolvidos', 'bolsonaro', 'fica', 'frente', 'aécio', 'dilma', 'engajamento', 'redes', 'sociais']","[0, 130]",1171,431,2016
3281,2016-02-17,"['resumo', 'programa', 'oficialsuperpop', 'lucianagimenez', 'obrigado', 'oportunidade', 'redetv']","[0, 114]",275,77,2016
4266,2016-02-18,"['rj', 'falido', 'bancando', 'festança', 'gay', 'discurso', 'flaviobolsonaro']","[0, 90]",268,144,2016
1521,2016-02-18,"['então', 'presidente', 'fhc', 'incomodado', 'cminha', 'postura', 'buscou', 'aliados', 'cassação', 'mandato', 'coincidência']","[0, 139]",745,348,2016
3297,2016-02-18,"['pib', 'brasil', '2•pior', 'desempenho', 'mundo', '2016', 'atrás', 'apenas', 'venezuelaroubo', 'ideologia', 'incompetência']","[0, 140]",442,326,2016
5219,2016-02-19,"['fico', 'pp', 'vou', 'psc', 'opinião']","[0, 73]",273,67,2016
6790,2016-02-20,"['revistaepoca', 'mente', 'descaradamente', 'respeito', 'boçal', 'inacreditável']","[0, 98]",893,452,2016
354,2016-02-21,"['agronegócio', 'locomotiva', 'economia']","[0, 66]",219,76,2016
4411,2016-02-23,"['grato', 'acompanhamento', 'palavras', 'carta', 'admirador', 'resume', 'trajetória', 'bolsonaro', 'via', 'carlosbolsonaro']","[0, 138]",315,74,2016
2866,2016-02-25,"['dia', '2602', 'estarei', 'santossp', 'bolsonarosp', 'lá', 'grande', 'abraço']","[0, 99]",281,82,2016
1798,2016-02-25,"['dizia', 'bento', 'xvi', 'governo', 'princípios', 'morais', 'passa', 'quadrilha', 'malfeitores', 'via', 'odecarvalho']","[0, 117]",822,462,2016
4827,2016-02-25,"['bolsonaro', 'luta', 'contra', 'câncer']","[0, 57]",221,108,2016
4030,2016-02-26,"['vivendo', 'partilhando', 'aprendendo', '🇧🇷']","[0, 62]",189,51,2016
4877,2016-02-26,"['obrigado', 'sempre', 'consideração', 'odecarvalho', 'amigos', 'twitter', 'grande', 'abraço', 'todos']","[0, 94]",523,107,2016
1816,2016-02-29,"['entrevista', 'moura101', 'introdução', 'parte', 'parte']","[0, 133]",209,83,2016
4805,2016-02-29,"['brasil', 'ferrovias', 'vai', 'mudar']","[0, 61]",294,117,2016
316,2016-02-29,"['turismo', 'praticamente', 'inviabilizado', 'brasil']","[0, 80]",141,57,2016
4031,2016-02-29,"['pesquisa', 'presidente', 'datafolha', 'único', 'avançar', 'limite', 'margem', 'erro', 'jair', 'bolsonaro']","[0, 126]",597,232,2016
1276,2016-02-29,"['política', 'externa', 'centro', 'lançamento', 'alcântara', 'estados', 'unidos', 'europa', 'israel']","[0, 111]",148,66,2016
1122,2016-03-01,"['brasil', 'direito', 'armas', 'bandidos', 'dão', 'segurança', 'justamente', 'proibem', 'têlas']","[0, 138]",717,450,2016
5350,2016-03-02,"['assunção', 'subcomandante', 'geral', 'chefe', 'estado', 'maior', 'distrito', 'federal', 'carlosbolsonaro', 'bolsonarosp']","[0, 139]",333,90,2016
723,2016-03-02,"['tire', 'conclusão', 'lula', 'acusame', 'mentir', 'sobre', 'postado', '3101', 'band', 'sobre', 'assunto']","[0, 138]",569,312,2016
5428,2016-03-03,"['delação', 'delcídio', 'esteira', 'virá', 'marcelo', 'odebrecht', 'fim', 'linha', 'facção', 'pt']","[0, 114]",494,330,2016
503,2016-03-03,"['hj', '2147', 'pousaremos', 'aeroporto', 'internacional', 'curitiba', 'cumprir', 'pequena', 'maratona', 'compromissos', '🇧🇷']","[0, 140]",473,139,2016
1608,2016-03-05,"['joão', '832', 'conhecereis', 'verdade', 'verdade', 'libertará']","[0, 90]",638,212,2016
6123,2016-03-06,"['pacaembu', 'jogo', 'palmeiras', 'grêmio', 'imprensa', 'esportiva', 'paulista', 'noticiou', 'vaiado', 'veja', 'vaias']","[0, 137]",961,417,2016
78,2016-03-06,"['imagem', 'temer', 'josé', 'rainha', 'democracia', 'certeza', 'direita', 'único', 'remédio', 'brasil']","[0, 129]",491,211,2016
4864,2016-03-06,"['agora', '0650hs', 'aeroporto', 'congonhas', 'sp', 'série', 'walking', 'left', 'continua']","[0, 101]",227,49,2016
