,created_at,full_text,display_text_range,favorite_count,retweet_count,ano
2776,2018-09-22,"['fortíssimo', 'abraço', 'cruzeiro', 'sul', 'ac']","[0, 43]",15109,2840,2018
1299,2018-09-22,"['obrigado', 'rio', 'janeiro']","[0, 25]",9460,1854,2018
4686,2018-09-22,"['vamos', 'juntos', 'sp']","[0, 17]",7474,1295,2018
4869,2018-09-23,"['assumi', 'compromisso', 'reduzir', 'número', 'ministérios', 'extinguir', 'privatizar', 'grande', 'parte', 'estatais', 'hoje', 'existem', 'gastos', 'desnecessários', 'devem', 'atender', 'população', 'recusar', 'acordões', 'negociam', 'cargos', 'troca', 'apoio', 'faz', 'parte', 'deste', 'objetivo', '🇧🇷👍🏻']","[0, 265]",49123,9776,2018
2288,2018-09-23,"['jjsa99991334', 'bom', 'dia', '👍🏻']","[14, 25]",1372,58,2018
5880,2018-09-23,"['jair', 'bolsonaro', 'recebe', 'visita', 'paulo', 'guedes', 'sempre', 'juntos', 'busca', 'ordem', 'progresso']","[0, 90]",36058,5645,2018
2097,2018-09-23,"['incentivos', 'cultura', 'permanecerão', 'artistas', 'talentosos', 'iniciando', 'carreiras', 'possuem', 'estrutura', 'acabará', 'milhões', 'dinheiro', 'público', 'financiando', 'famosos', 'sob', 'falso', 'argumento', 'incentivo', 'cultural', 'compram', 'apoio', 'fim']","[0, 279]",33086,8285,2018
2101,2018-09-23,"['indignação', 'eletiva', 'deonetidade', 'alguns']","[0, 50]",36548,10743,2018
2585,2018-09-23,"['manifestações', 'brasil', 'obrigado', 'apoio', 'confiança', 'consideração']","[0, 79]",19292,3664,2018
265,2018-09-23,"['desrespeito', 'pobres', 'deixar', 'crianças', 'merenda', 'escolas', 'boa', 'noite', 'todos']","[0, 90]",69074,13920,2018
3256,2018-09-23,"['domingo', '23092018', 'copacabana', 'obrigado', 'garoto', 'flaviobolsonaro', 'forte', 'abraço', 'rio', 'janeiro']","[0, 108]",23658,4894,2018
6633,2018-09-24,['🇧🇷👍🏻'],"[0, 4]",26759,3680,2018
5497,2018-09-24,"['jair', 'bolsonaro', 'recebe', 'visita', 'candidato', 'senado', 'paulo', 'majorolimpio', '177', '👍🏻']","[0, 92]",14903,1962,2018
2939,2018-09-24,"['carlos', 'verezza', 'visita', 'jair', 'bolsonaro']","[0, 37]",36168,7417,2018
1306,2018-09-24,"['assista', 'entrevista', 'bolsonaronajovempan', '18h30', 'ospingonosis']","[0, 100]",13770,3069,2018
4800,2018-09-24,"['antes', 'qualquer', 'resultado', 'encontrado', 'nomes', 'qualificados', 'compor', 'time', 'prática', 'garantia', 'equipe', 'comprometida', 'interesses', 'nação', 'indicações', 'lideranças', 'partidos', 'políticos', 'mantido', 'brasil', 'lama', 'últimos', 'governos']","[0, 279]",38595,7062,2018
1780,2018-09-24,"['texto', 'separa', 'velha', 'nova', 'política']","[0, 69]",11797,2943,2018
6469,2018-09-25,"['🇧🇷👉🏻👉🏻👍🏻☀️', 'obrigado', 'confiança']","[0, 42]",33922,5967,2018
2085,2018-09-25,[],"[0, 0]",22594,5206,2018
6399,2018-09-25,"['sempre', 'pregação', 'amor', 'verdade', 'jornalismo', 'folha', 'sp']","[0, 70]",13991,2987,2018
244,2018-09-25,"['ru4nkl3in', 'bom', 'dia', '👍🏻']","[11, 22]",244,14,2018
6068,2018-09-25,"['assista', 'aqui', 'conversa', 'sobre', 'atentado', 'augustosnunes', 'hospital', 'albert', 'einstein']","[0, 116]",12312,2975,2018
4619,2018-09-25,"['obrigado', 'consideração', 'mestre', 'oswaldo', 'alves', 'respeitados', 'guerreiros', 'história', 'mundo', 'artes', 'marciais', 'jiujitsu', 'honra']","[0, 150]",21409,4148,2018
3046,2018-09-25,"['abraço', 'continue', 'bom', 'trabalho', 'moleque', 'abraço', 'amado', 'batista', 'marrone']","[0, 78]",19478,3280,2018
3488,2018-09-25,"['forte', 'abraço', 'surubim', 'pe', '👍🏻']","[0, 33]",26829,5013,2018
4999,2018-09-25,['bolsafamília'],"[0, 14]",20670,4423,2018
6256,2018-09-26,"['brasil', 'acima', 'tudo', '👍🏻']","[0, 23]",22679,3558,2018
2705,2018-09-26,"['última', 'entrevista', 'antes', 'atentado', '06set2018']","[0, 49]",29592,7068,2018
5846,2018-09-26,[],"[0, 23]",12525,2160,2018
3923,2018-09-26,"['enquanto', 'insistem', 'falácias', 'rótulos', 'fixação', 'palavra', 'ditadura', '14', 'milhões', 'desempregados', 'cidadãos', 'reféns', 'próprias', 'casas', '60', 'mil', 'homicídios', '50', 'mil', 'mulheres', 'estupradas', 'ano', 'disso', 'povo', 'quer', 'saber', 'urgente', 'daqui', 'pra', 'frente']","[0, 275]",40723,9896,2018
4723,2018-09-26,"['queremos', 'resgatar', 'valores', 'perdidos', 'retirar', 'brasil', 'lama', 'violência', 'corrupção', 'colocaram', 'país', 'aguenta', 'anos', 'governa', 'décadas', 'vamos', 'dar', 'primeiro', 'passo', 'resgatar', 'pátria', '👍🏻']","[0, 239]",22618,4900,2018
3735,2018-09-26,"['incomoda', 'muitos', 'apoio', 'recebemos', 'espontâneo', 'algo', 'nunca', 'bolsonaro', 'brasil', 'saqueado', 'jogado', 'traças', 'todas', 'cores', 'idades', 'sexo', 'classe', 'social', 'confiantes', 'chegada', 'futuro', 'melhor', 'imbatível', '🇧🇷']","[0, 276]",48361,11128,2018
4133,2018-09-27,"['grato', 'consideração', 'sempre', 'janaína', 'paschoal', 'vamos', 'juntos', 'mudar', 'rumos', 'grande', 'brasil', 'forte', 'abraço']","[0, 144]",18010,3083,2018
